key,distance,patch,basis,rounds,method,prior,alpha,rule,keep,cal_n,cal_errors,test_n,test_errors,test_rate,exceed,sig_exceed
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,rl,0.03,plugin,0.8,12651,378,12660,335,0.02646129541864139,0,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,rl,0.03,naive_raw,0.95,14317,693,14321,672,0.04692409747922631,1,1
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,rl,0.03,naive_platt,0.75,11670,309,11666,264,0.022629864563689355,0,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,rl,0.1,ltt,1.0,15000,944,15000,917,0.06113333333333333,0,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,rl,0.1,plugin,1.0,15000,944,15000,917,0.06113333333333333,0,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,rl,0.1,naive_raw,1.0,15000,944,15000,917,0.06113333333333333,0,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,rl,0.1,naive_platt,1.0,15000,944,15000,917,0.06113333333333333,0,0
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,si1000,0.001,ltt,,,,,,,,
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,si1000,0.001,plugin,,,,,,,,
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,si1000,0.001,naive_raw,,,,,,,,
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,si1000,0.001,naive_platt,,,,,,,,
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,si1000,0.003,ltt,,,,,,,,
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,si1000,0.003,plugin,,,,,,,,
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,si1000,0.003,naive_raw,,,,,,,,
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,si1000,0.003,naive_platt,,,,,,,,
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,si1000,0.01,ltt,,,,,,,,
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,si1000,0.01,plugin,,,,,,,,
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,si1000,0.01,naive_raw,0.4,6063,573,6101,547,0.08965743320767088,1,1
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,si1000,0.01,naive_platt,,,,,,,,
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,si1000,0.03,ltt,,,,,,,,
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,si1000,0.03,plugin,,,,,,,,
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,si1000,0.03,naive_raw,0.75,11324,1613,11276,1640,0.14544164597374956,1,1
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,si1000,0.03,naive_platt,,,,,,,,
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,si1000,0.1,ltt,0.25,3753,273,3812,248,0.06505771248688352,0,0
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,si1000,0.1,plugin,0.4,6063,573,6101,547,0.08965743320767088,0,0
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,si1000,0.1,naive_raw,0.95,14893,3242,14874,3241,0.21789700147909102,1,1
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,si1000,0.1,naive_platt,0.4,6063,573,6101,547,0.08965743320767088,0,0
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,rl,0.001,ltt,,,,,,,,
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,rl,0.001,plugin,,,,,,,,
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,rl,0.001,naive_raw,,,,,,,,
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,rl,0.001,naive_platt,,,,,,,,
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,rl,0.003,ltt,,,,,,,,
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,rl,0.003,plugin,,,,,,,,
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,rl,0.003,naive_raw,,,,,,,,
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,rl,0.003,naive_platt,,,,,,,,
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,rl,0.01,ltt,,,,,,,,
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,rl,0.01,plugin,,,,,,,,
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,rl,0.01,naive_raw,0.05,850,23,864,18,0.020833333333333332,1,1
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,rl,0.01,naive_platt,,,,,,,,
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,rl,0.03,ltt,,,,,,,,
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,rl,0.03,plugin,0.05,850,23,864,18,0.020833333333333332,0,0
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,rl,0.03,naive_raw,0.4,6266,600,6277,589,0.09383463437948064,1,1
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,rl,0.03,naive_platt,,,,,,,,
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,rl,0.1,ltt,0.3,4769,418,4834,394,0.08150599917252793,0,0
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,rl,0.1,plugin,0.4,6266,600,6277,589,0.09383463437948064,0,0
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,rl,0.1,naive_raw,0.85,12729,2167,12760,2258,0.17695924764890283,1,1
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,rl,0.1,naive_platt,0.3,4769,418,4834,394,0.08150599917252793,0,0
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,si1000,0.001,ltt,,,,,,,,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,si1000,0.001,plugin,,,,,,,,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,si1000,0.001,naive_raw,,,,,,,,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,si1000,0.001,naive_platt,,,,,,,,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,si1000,0.003,ltt,,,,,,,,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,si1000,0.003,plugin,,,,,,,,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,si1000,0.003,naive_raw,,,,,,,,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,si1000,0.003,naive_platt,,,,,,,,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,si1000,0.01,ltt,,,,,,,,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,si1000,0.01,plugin,,,,,,,,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,si1000,0.01,naive_raw,0.2,3556,408,3538,438,0.12379875635952516,1,1
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,si1000,0.01,naive_platt,,,,,,,,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,si1000,0.03,ltt,,,,,,,,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,si1000,0.03,plugin,,,,,,,,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,si1000,0.03,naive_raw,0.6,9063,1481,9034,1531,0.16947088775736108,1,1
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,si1000,0.03,naive_platt,,,,,,,,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,si1000,0.1,ltt,,,,,,,,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,si1000,0.1,plugin,0.1,1664,157,1666,152,0.09123649459783914,0,0
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,si1000,0.1,naive_raw,0.8,12267,2723,12183,2720,0.2232619223508167,1,1
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,si1000,0.1,naive_platt,,,,,,,,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,rl,0.001,ltt,,,,,,,,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,rl,0.001,plugin,,,,,,,,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,rl,0.001,naive_raw,,,,,,,,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,rl,0.001,naive_platt,,,,,,,,
