axis,source,target,distance,basis,rounds,patch,method,prior,calibrator,ece,nll
sim,sim:d3_at_q10_7/Z/r30,d3_at_q10_7/Z/r30,3,Z,30,q10_7,mwpm_gap,si1000,platt,0.09700053276498358,0.49300772887404676
sim,sim:d3_at_q10_7/Z/r30,d3_at_q10_7/Z/r30,3,Z,30,q10_7,mwpm_gap,si1000,isotonic,0.09319031927222723,0.499326546398784
basis,d3_at_q10_7/X/r30,d3_at_q10_7/Z/r30,3,Z,30,q10_7,mwpm_gap,si1000,platt,0.02378995694492338,0.43142249288378526
basis,d3_at_q10_7/X/r30,d3_at_q10_7/Z/r30,3,Z,30,q10_7,mwpm_gap,si1000,isotonic,0.027893244723830715,0.43396300866845255
patch,d3_at_q2_7/Z/r30,d3_at_q10_7/Z/r30,3,Z,30,q10_7,mwpm_gap,si1000,platt,0.014004043340800246,0.42992604606941087
patch,d3_at_q2_7/Z/r30,d3_at_q10_7/Z/r30,3,Z,30,q10_7,mwpm_gap,si1000,isotonic,0.011581622649811099,0.4300870964210806
patch,d3_at_q4_5/Z/r30,d3_at_q10_7/Z/r30,3,Z,30,q10_7,mwpm_gap,si1000,platt,0.012531679953197343,0.4297461904983615
patch,d3_at_q4_5/Z/r30,d3_at_q10_7/Z/r30,3,Z,30,q10_7,mwpm_gap,si1000,isotonic,0.012315404516211307,0.43079996382083724
patch,d3_at_q4_9/Z/r30,d3_at_q10_7/Z/r30,3,Z,30,q10_7,mwpm_gap,si1000,platt,0.01636281624926368,0.4303589418306263
patch,d3_at_q4_9/Z/r30,d3_at_q10_7/Z/r30,3,Z,30,q10_7,mwpm_gap,si1000,isotonic,0.020501493277970753,0.43255129044387974
patch,d3_at_q6_11/Z/r30,d3_at_q10_7/Z/r30,3,Z,30,q10_7,mwpm_gap,si1000,platt,0.014757507200883063,0.43002845144499535
patch,d3_at_q6_11/Z/r30,d3_at_q10_7/Z/r30,3,Z,30,q10_7,mwpm_gap,si1000,isotonic,0.012859474297693872,0.43080172898689545
patch,d3_at_q6_3/Z/r30,d3_at_q10_7/Z/r30,3,Z,30,q10_7,mwpm_gap,si1000,platt,0.01371997166551662,0.4298985798093124
patch,d3_at_q6_3/Z/r30,d3_at_q10_7/Z/r30,3,Z,30,q10_7,mwpm_gap,si1000,isotonic,0.018422425466023247,0.4308374516174801
patch,d3_at_q6_7/Z/r30,d3_at_q10_7/Z/r30,3,Z,30,q10_7,mwpm_gap,si1000,platt,0.01744681212601116,0.4303707008922059
patch,d3_at_q6_7/Z/r30,d3_at_q10_7/Z/r30,3,Z,30,q10_7,mwpm_gap,si1000,isotonic,0.020582599047617486,0.43212334949280073
patch,d3_at_q8_5/Z/r30,d3_at_q10_7/Z/r30,3,Z,30,q10_7,mwpm_gap,si1000,platt,0.05152690603409369,0.4399644490229223
patch,d3_at_q8_5/Z/r30,d3_at_q10_7/Z/r30,3,Z,30,q10_7,mwpm_gap,si1000,isotonic,0.049995365466935365,0.44124611613417764
patch,d3_at_q8_9/Z/r30,d3_at_q10_7/Z/r30,3,Z,30,q10_7,mwpm_gap,si1000,platt,0.034533713461581274,0.4340433084589972
patch,d3_at_q8_9/Z/r30,d3_at_q10_7/Z/r30,3,Z,30,q10_7,mwpm_gap,si1000,isotonic,0.03314898975309725,0.43554591004889676
pooled,pool:d3/Z/r30 without q10_7 (8 patches),d3_at_q10_7/Z/r30,3,Z,30,q10_7,mwpm_gap,si1000,platt,0.015447768228713533,0.43011713084883824
pooled,pool:d3/Z/r30 without q10_7 (8 patches),d3_at_q10_7/Z/r30,3,Z,30,q10_7,mwpm_gap,si1000,isotonic,0.016725748898629204,0.42983304430007907
same,d3_at_q10_7/Z/r50,d3_at_q10_7/Z/r50,3,Z,50,q10_7,mwpm_gap,si1000,platt,0.01456046970095475,0.5433500084736363
same,d3_at_q10_7/Z/r50,d3_at_q10_7/Z/r50,3,Z,50,q10_7,mwpm_gap,si1000,isotonic,0.012109298336255996,0.5427085710188267
sim,sim:d3_at_q10_7/Z/r50,d3_at_q10_7/Z/r50,3,Z,50,q10_7,mwpm_gap,si1000,platt,0.10434364290811354,0.6092665847420855
