key,distance,patch,basis,rounds,method,prior,calibrator,test_n,test_errors,mean_q,ece,brier,nll,params
d3_at_q10_7/X/r210,3,q10_7,X,210,mwpm_gap,si1000,platt,15000,7329,0.48816801981303687,0.014535194316317591,0.2488950902763571,0.6909240048296224,a=0.1039;b=-0.05252
d3_at_q10_7/X/r210,3,q10_7,X,210,mwpm_gap,si1000,isotonic,15000,7329,0.4882698577931973,0.01164890918809833,0.24885134604403542,0.6908179853621867,steps=22
d3_at_q10_7/X/r210,3,q10_7,X,210,mwpm_gap,rl,raw,15000,7210,0.32535381907431915,0.15531284759234748,0.28347488867405357,0.7945015720137775,
d3_at_q10_7/X/r210,3,q10_7,X,210,mwpm_gap,rl,temperature,15000,7210,0.4786999063935412,0.014201803571039286,0.2490289060334895,0.6911956639997937,T=9.853
d3_at_q10_7/X/r210,3,q10_7,X,210,mwpm_gap,rl,platt,15000,7210,0.48161055679211157,0.013192080354972685,0.24899785647766048,0.6911319740483443,a=0.1186;b=-0.02602
d3_at_q10_7/X/r210,3,q10_7,X,210,mwpm_gap,rl,isotonic,15000,7210,0.48161343798368533,0.01443868084596755,0.24898029639622193,0.6910905902342096,steps=21
d3_at_q10_7/X/r230,3,q10_7,X,230,mwpm_gap,si1000,raw,15000,7400,0.33329526145835503,0.16003807187497826,0.28997200402970663,0.8239884108305283,
d3_at_q10_7/X/r230,3,q10_7,X,230,mwpm_gap,si1000,temperature,15000,7400,0.486435316139075,0.01548993168197131,0.24964045342534288,0.6924263277403891,T=15.53
d3_at_q10_7/X/r230,3,q10_7,X,230,mwpm_gap,si1000,platt,15000,7400,0.4947424438994128,0.012220254170704386,0.24957140272503942,0.6922877994288026,a=0.09927;b=-0.06262
d3_at_q10_7/X/r230,3,q10_7,X,230,mwpm_gap,si1000,isotonic,15000,7400,0.4947663937087197,0.010741795566484025,0.24959006390200175,0.6928860651258011,steps=19
d3_at_q10_7/X/r230,3,q10_7,X,230,mwpm_gap,rl,raw,15000,7200,0.34008164361182097,0.14138052391653771,0.2798058925091916,0.7802942325527228,
d3_at_q10_7/X/r230,3,q10_7,X,230,mwpm_gap,rl,temperature,15000,7200,0.48420534925283454,0.009087065343782452,0.24946304958122018,0.6920707767577117,T=11.84
d3_at_q10_7/X/r230,3,q10_7,X,230,mwpm_gap,rl,platt,15000,7200,0.487033022453886,0.010143351046287614,0.2495152596301723,0.6921747813695336,a=0.1024;b=-0.02467
d3_at_q10_7/X/r230,3,q10_7,X,230,mwpm_gap,rl,isotonic,15000,7200,0.4868586427585623,0.014669788193341176,0.24943384751580602,0.6920131379354733,steps=21
d3_at_q10_7/X/r250,3,q10_7,X,250,mwpm_gap,si1000,raw,15000,7453,0.3385886915020795,0.15827797516458716,0.2881157030567711,0.8158601406394526,
d3_at_q10_7/X/r250,3,q10_7,X,250,mwpm_gap,si1000,temperature,15000,7453,0.48425457066429756,0.017725715646054307,0.2496801638105677,0.6925050118786314,T=12.84
d3_at_q10_7/X/r250,3,q10_7,X,250,mwpm_gap,si1000,platt,15000,7453,0.48975302494971695,0.014721970768973658,0.24954219079085252,0.6922286899640834,a=0.1022;b=-0.04164
d3_at_q10_7/X/r250,3,q10_7,X,250,mwpm_gap,si1000,isotonic,15000,7453,0.4897931993436979,0.013338436876019207,0.24963936184572222,0.6924260296593614,steps=20
d3_at_q10_7/X/r250,3,q10_7,X,250,mwpm_gap,rl,raw,15000,7246,0.3437688647637209,0.13929780190294577,0.2778288778924201,0.7746339021604701,
d3_at_q10_7/X/r250,3,q10_7,X,250,mwpm_gap,rl,temperature,15000,7246,0.485286394180236,0.012741524009552476,0.24938848706061192,0.6919218618675577,T=12.37
d3_at_q10_7/X/r250,3,q10_7,X,250,mwpm_gap,rl,platt,15000,7246,0.4909288807467168,0.013719504418866817,0.24941788348723223,0.6919801254441253,a=0.1182;b=-0.04978
d3_at_q10_7/X/r250,3,q10_7,X,250,mwpm_gap,rl,isotonic,15000,7246,0.4908888138606681,0.014392447003451147,0.24942895428765127,0.6920022926073182,steps=16
d3_at_q10_7/Z/r01,3,q10_7,Z,1,mwpm_gap,si1000,raw,15000,72,0.002026221395915068,0.0027751018994315105,0.0043909005143302465,0.02072192328562909,
d3_at_q10_7/Z/r01,3,q10_7,Z,1,mwpm_gap,si1000,temperature,15000,72,0.005235283073995905,0.0008646050044529396,0.004320760727852445,0.01846035754303071,T=1.438
d3_at_q10_7/Z/r01,3,q10_7,Z,1,mwpm_gap,si1000,platt,15000,72,0.00521897115534833,0.0008453931420170979,0.004320149598838187,0.018457840957153495,a=0.6912;b=0.0203
